City,Best Model,MAE,RMSE,R2
Douala,XGBoost,24.83276633154013,53.3232358705851,0.9502557261157012
Maroua,XGBoost,26.545543499707705,60.19542571979261,0.9656686791364484
Overall,XGBoost,26.545543499707705,60.19542571979261,0.9656686791364484
